Лет опыта,Возраст,Увольнений в трудовой,Высших образований,Среднеспециальных образований,В браке,Должность,Повышенный оклад
24,49,0,0,0,Нет,Техник,Нет
7,29,0,0,1,Нет,Оператор,Нет
0,29,0,0,1,Нет,Оператор,Нет
37,64,0,0,1,Да,Техник,Нет
33,55,0,0,0,Да,Оператор,Нет
19,45,0,0,1,Нет,Техник,Нет
1,27,1,2,0,Нет,Техник,Нет
28,51,0,1,0,Да,Начальник производства,Премия
0,27,0,0,1,Да,Техник,Нет
27,54,0,0,1,Да,Оператор,Премия
19,43,0,0,1,Нет,Оператор,Нет
14,39,1,1,0,Да,Не нанят,Нет
20,43,1,0,1,Нет,Не нанят,Нет
14,43,0,0,0,Да,Оператор,Нет
0,27,0,0,1,Да,Техник,Нет
8,30,0,1,0,Да,Техник,Премия
8,36,1,0,1,Нет,Не нанят,Нет
6,26,1,2,0,Нет,Техник,Нет
11,35,1,0,1,Да,Не нанят,Нет
26,49,1,0,1,Да,Не нанят,Нет
22,46,1,0,0,Да,Не нанят,Нет
17,46,0,0,1,Да,Техник,Премия
14,42,1,1,0,Нет,Не нанят,Нет
35,55,1,1,0,Да,Не нанят,Нет
12,40,1,0,1,Да,Не нанят,Нет
24,48,0,0,1,Нет,Техник,Нет
0,27,0,1,0,Да,Техник,Нет
33,53,0,0,1,Да,Техник,Премия
38,58,0,0,0,Да,Оператор,Нет
16,38,0,0,1,Да,Техник,Премия
27,51,0,0,0,Да,Оператор,Нет
23,50,1,0,1,Нет,Не нанят,Нет
35,57,1,0,1,Да,Не нанят,Нет
14,43,0,2,0,Нет,Технолог,Премия
13,36,1,0,1,Да,Не нанят,Нет
17,39,0,0,1,Да,Техник,Нет
32,59,1,0,1,Да,Не нанят,Нет
5,30,0,0,1,Да,Оператор,Нет
27,51,1,0,0,Да,Не нанят,Нет
21,49,1,0,1,Нет,Не нанят,Нет
5,28,0,0,1,Да,Техник,Нет
11,34,1,0,1,Да,Не нанят,Нет
6,33,0,0,1,Нет,Техник,Нет
35,63,0,0,1,Да,Техник,Премия
27,50,1,0,1,Нет,Не нанят,Нет
13,36,0,0,1,Нет,Техник,Нет
33,59,0,0,0,Да,Оператор,Нет
8,33,0,2,0,Да,Техник,Нет
17,46,0,0,0,Да,Техник,Нет
28,53,0,0,1,Да,Оператор,Премия
21,41,0,1,0,Нет,Мастер,Нет
3,26,0,0,0,Нет,Не нанят,Нет
34,60,1,1,0,Да,Не нанят,Нет
28,52,0,0,0,Да,Техник,Нет
38,59,1,0,1,Да,Не нанят,Нет
23,47,0,1,0,Да,Мастер,Премия
14,43,0,0,0,Да,Не нанят,Нет
37,65,0,0,1,Да,Техник,Премия
33,62,0,0,1,Да,Техник,Премия
14,38,0,0,1,Да,Оператор,Премия
28,52,1,0,1,Да,Не нанят,Нет
34,61,0,1,0,Да,Мастер,Двойная премия
11,36,0,0,0,Да,Не нанят,Нет
28,54,0,0,1,Да,Оператор,Нет
22,45,0,0,1,Да,Техник,Нет
33,57,0,0,1,Да,Техник,Нет
25,53,1,2,0,Да,Техник,Нет
28,55,0,0,0,Да,Оператор,Нет
37,60,1,0,1,Да,Не нанят,Нет
28,55,0,1,0,Да,Начальник производства,Двойная премия
38,62,1,0,1,Да,Не нанят,Нет
17,40,1,0,1,Нет,Не нанят,Нет
33,58,0,1,0,Да,Мастер,Двойная премия
12,33,0,1,0,Нет,Мастер,Нет
14,41,1,0,0,Нет,Не нанят,Нет
9,37,0,1,0,Нет,Техник,Нет
22,45,1,0,1,Да,Не нанят,Нет
12,41,0,0,1,Да,Оператор,Премия
16,42,0,1,0,Да,Мастер,Двойная премия
16,39,0,0,1,Нет,Техник,Нет
3,26,1,1,0,Да,Не нанят,Нет
25,48,1,1,0,Нет,Не нанят,Нет
38,66,1,0,0,Да,Не нанят,Нет
7,35,0,0,1,Да,Техник,Нет
37,62,0,0,0,Да,Техник,Нет
26,51,0,1,0,Да,Начальник производства,Премия
31,56,0,0,0,Да,Техник,Нет
29,55,0,0,1,Да,Техник,Нет
29,54,1,1,0,Да,Не нанят,Нет
2,28,0,0,1,Нет,Техник,Нет
1,29,0,2,0,Да,Техник,Нет
10,34,0,0,0,Да,Техник,Нет
4,29,0,0,1,Нет,Оператор,Нет
24,48,0,0,0,Да,Техник,Нет
17,43,1,0,1,Да,Не нанят,Нет
18,44,0,0,1,Да,Оператор,Премия
39,64,0,0,1,Да,Техник,Нет
5,28,0,1,0,Да,Техник,Нет
9,35,1,0,1,Нет,Не нанят,Нет
28,51,1,0,1,Да,Не нанят,Нет
26,51,0,0,0,Да,Оператор,Нет
31,51,0,0,1,Да,Техник,Премия
12,35,0,0,0,Нет,Оператор,Нет
25,49,0,0,1,Нет,Техник,Нет
16,37,0,0,1,Да,Техник,Нет
6,28,0,1,0,Нет,Техник,Нет
10,34,1,0,1,Да,Не нанят,Нет
1,27,0,0,0,Нет,Не нанят,Нет
10,35,0,0,1,Да,Техник,Нет
15,38,0,0,1,Да,Оператор,Нет
39,59,0,1,0,Да,Начальник производства,Двойная премия
26,53,0,0,0,Да,Оператор,Нет
37,65,1,2,0,Да,Техник,Нет
23,43,1,0,1,Нет,Не нанят,Нет
12,39,0,1,0,Да,Мастер,Премия
4,31,0,0,1,Нет,Техник,Нет
31,57,0,0,1,Да,Техник,Премия
28,56,0,0,1,Да,Техник,Нет
14,38,0,0,1,Да,Техник,Нет
2,29,0,2,0,Нет,Техник,Нет
25,51,0,0,1,Да,Техник,Нет
31,56,0,0,1,Да,Техник,Премия
36,62,0,0,0,Да,Техник,Нет
37,60,2,0,1,Да,Не нанят,Нет
20,46,1,0,0,Нет,Не нанят,Нет
8,31,0,0,1,Да,Техник,Нет
11,38,0,0,1,Да,Оператор,Нет
21,44,1,1,0,Нет,Не нанят,Нет
13,33,0,0,0,Да,Не нанят,Нет
2,22,0,0,0,Да,Не нанят,Нет
2,26,0,0,1,Нет,Оператор,Нет
25,51,0,1,0,Да,Начальник производства,Двойная премия
16,40,2,0,0,Да,Не нанят,Нет
35,64,0,1,0,Да,Мастер,Премия
4,28,0,0,1,Да,Оператор,Нет
38,63,1,0,1,Да,Не нанят,Нет
27,56,0,0,1,Да,Оператор,Нет
21,50,0,1,0,Да,Начальник производства,Премия
23,51,0,0,0,Да,Техник,Нет
37,59,1,1,0,Да,Не нанят,Нет
31,51,0,1,0,Да,Начальник производства,Двойная премия
30,57,0,1,0,Да,Начальник производства,Двойная премия
17,39,1,1,0,Да,Не нанят,Нет
8,36,1,0,1,Да,Не нанят,Нет
13,40,0,0,1,Нет,Оператор,Нет
16,44,0,0,0,Нет,Не нанят,Нет
0,21,0,0,1,Нет,Оператор,Нет
11,31,2,0,1,Да,Не нанят,Нет
0,25,1,0,1,Нет,Не нанят,Нет
20,40,2,0,0,Да,Не нанят,Нет
3,27,0,1,0,Да,Техник,Нет
7,29,0,0,1,Нет,Оператор,Нет
26,48,0,1,0,Нет,Мастер,Нет
23,48,0,0,1,Нет,Техник,Нет
22,47,0,0,1,Нет,Техник,Нет
15,35,0,0,1,Нет,Оператор,Нет
11,34,0,0,0,Нет,Оператор,Нет
24,51,0,0,1,Да,Техник,Нет
7,34,1,0,1,Да,Не нанят,Нет
9,37,0,1,0,Нет,Техник,Нет
0,22,1,0,1,Нет,Не нанят,Нет
21,44,0,0,0,Да,Техник,Нет
0,28,0,0,1,Нет,Техник,Нет
6,29,1,0,1,Да,Не нанят,Нет
17,37,0,0,1,Да,Техник,Нет
14,38,0,0,0,Нет,Оператор,Нет
22,46,0,0,1,Да,Оператор,Нет
25,46,0,0,1,Нет,Оператор,Нет
36,56,0,0,1,Да,Техник,Нет
0,22,0,0,1,Да,Техник,Нет
27,48,0,0,1,Да,Техник,Премия
33,53,0,0,1,Да,Техник,Нет
31,51,1,0,1,Да,Не нанят,Нет
3,30,0,0,0,Да,Не нанят,Нет
31,51,1,0,1,Да,Не нанят,Нет
7,34,1,0,1,Да,Не нанят,Нет
30,52,1,0,1,Да,Не нанят,Нет
16,39,1,0,0,Нет,Не нанят,Нет
38,59,0,1,0,Да,Мастер,Премия
12,32,0,0,1,Нет,Техник,Нет
36,60,0,1,0,Да,Мастер,Двойная премия
3,31,0,1,0,Нет,Техник,Нет
39,65,1,0,1,Да,Не нанят,Нет
19,42,0,0,1,Нет,Оператор,Нет
38,66,0,1,0,Да,Начальник производства,Премия
20,45,0,1,0,Нет,Мастер,Нет
6,34,0,0,1,Да,Техник,Премия
32,54,1,0,1,Да,Не нанят,Нет
24,44,0,0,1,Да,Оператор,Нет
38,66,1,1,0,Да,Не нанят,Нет
4,32,0,0,1,Да,Техник,Нет
3,23,0,1,0,Да,Техник,Нет
38,64,0,0,1,Да,Техник,Премия
31,53,1,0,1,Да,Не нанят,Нет
3,32,0,0,0,Нет,Не нанят,Нет
36,56,0,1,0,Да,Начальник производства,Нет
9,38,0,0,1,Нет,Оператор,Нет
22,44,0,0,1,Да,Техник,Нет
19,44,0,0,1,Да,Техник,Нет
9,38,0,0,0,Да,Не нанят,Нет
36,63,0,0,1,Да,Техник,Премия
29,56,0,0,1,Да,Техник,Премия
7,35,0,1,0,Да,Техник,Премия
28,50,0,0,1,Нет,Техник,Нет
2,31,1,0,1,Нет,Не нанят,Нет
29,49,0,0,1,Нет,Оператор,Нет
1,26,1,0,0,Да,Не нанят,Нет
7,29,1,1,0,Да,Не нанят,Нет
16,43,1,1,0,Нет,Не нанят,Нет
1,24,0,2,0,Нет,Техник,Нет
16,45,1,1,0,Нет,Не нанят,Нет
36,57,0,0,1,Да,Техник,Нет
5,25,0,0,1,Да,Техник,Нет
33,55,1,0,1,Да,Не нанят,Нет
8,35,1,0,1,Да,Не нанят,Нет
14,43,0,0,1,Да,Техник,Нет
11,39,1,0,1,Нет,Не нанят,Нет
17,40,0,0,0,Нет,Не нанят,Нет
16,45,0,1,0,Да,Мастер,Премия
38,66,0,0,1,Да,Оператор,Премия
22,46,1,0,1,Да,Не нанят,Нет
35,59,0,0,1,Да,Оператор,Нет
18,42,0,0,0,Да,Не нанят,Нет
16,39,0,0,1,Нет,Оператор,Нет
17,44,1,0,0,Да,Не нанят,Нет
0,29,0,1,0,Нет,Техник,Нет
13,34,0,0,1,Нет,Оператор,Нет
21,41,1,0,1,Нет,Не нанят,Нет
7,29,0,1,0,Нет,Техник,Нет
4,29,1,0,1,Да,Не нанят,Нет
15,44,0,0,1,Нет,Оператор,Нет
20,44,0,0,1,Да,Техник,Нет
6,31,0,0,1,Да,Техник,Премия
35,64,0,2,0,Да,Мастер,Двойная премия
34,62,1,0,1,Да,Не нанят,Нет
15,38,0,0,1,Нет,Оператор,Нет
21,42,1,0,1,Да,Не нанят,Нет
36,64,0,1,0,Да,Начальник производства,Двойная премия
4,30,0,0,1,Нет,Техник,Нет
27,50,0,0,0,Нет,Оператор,Нет
30,57,0,1,0,Да,Начальник производства,Премия
16,42,1,1,0,Нет,Не нанят,Нет
9,29,0,1,0,Нет,Техник,Нет
18,47,0,0,1,Нет,Оператор,Нет
38,61,0,0,1,Да,Техник,Нет
30,54,1,2,0,Да,Техник,Нет
15,43,0,1,0,Нет,Мастер,Нет
7,34,0,0,1,Нет,Оператор,Нет
1,24,1,1,0,Нет,Не нанят,Нет
23,45,0,0,0,Нет,Техник,Нет
10,39,0,0,1,Нет,Оператор,Нет
28,48,0,1,0,Да,Начальник производства,Двойная премия
7,32,1,1,0,Нет,Не нанят,Нет
22,46,0,0,1,Да,Техник,Нет
21,48,0,0,1,Да,Оператор,Нет
19,43,0,0,0,Нет,Оператор,Нет
33,59,0,0,1,Да,Техник,Нет
20,46,0,2,0,Да,Мастер,Нет
14,43,0,2,0,Да,Мастер,Нет
18,40,0,1,0,Нет,Мастер,Нет
23,47,1,0,1,Да,Не нанят,Нет
34,55,0,0,0,Да,Техник,Нет
11,33,0,0,1,Да,Техник,Премия
12,36,0,0,1,Нет,Техник,Нет
22,51,0,1,0,Да,Мастер,Премия
4,32,0,0,1,Нет,Оператор,Нет
31,51,1,0,1,Да,Не нанят,Нет
0,27,0,0,1,Нет,Оператор,Нет
16,42,0,1,0,Нет,Мастер,Нет
21,46,0,0,1,Нет,Оператор,Нет
2,23,0,0,1,Нет,Оператор,Нет
19,42,1,0,0,Нет,Не нанят,Нет
26,50,0,2,0,Да,Начальник производства,Премия
12,37,0,1,0,Да,Технолог,Нет
17,42,1,0,0,Да,Не нанят,Нет
5,31,0,1,0,Да,Техник,Премия
8,32,0,0,1,Да,Техник,Премия
25,48,1,0,0,Нет,Не нанят,Нет
2,28,0,1,0,Да,Техник,Нет
8,29,0,1,0,Да,Техник,Нет
32,58,1,1,0,Да,Не нанят,Нет
39,68,0,0,1,Да,Техник,Нет
10,35,1,1,0,Нет,Не нанят,Нет
3,23,0,0,1,Нет,Оператор,Нет
22,49,0,0,0,Нет,Техник,Нет
15,41,2,0,0,Нет,Не нанят,Нет
33,62,0,1,0,Да,Начальник производства,Двойная премия
34,56,1,0,1,Да,Не нанят,Нет
38,58,0,0,1,Да,Оператор,Нет
8,31,1,0,1,Нет,Не нанят,Нет
27,55,1,0,0,Да,Не нанят,Нет
15,44,1,2,0,Да,Техник,Нет
36,63,1,2,0,Да,Техник,Нет
33,57,0,0,1,Да,Оператор,Нет
15,36,0,0,1,Нет,Оператор,Нет
37,63,1,0,1,Да,Не нанят,Нет
17,40,1,1,0,Да,Не нанят,Нет
19,46,0,2,0,Нет,Мастер,Нет
18,41,0,1,0,Да,Технолог,Нет
37,59,0,1,0,Да,Мастер,Нет
29,49,0,0,1,Да,Техник,Премия
28,51,0,0,1,Да,Техник,Премия
28,54,2,1,0,Да,Не нанят,Нет
3,32,0,0,0,Нет,Не нанят,Нет
33,62,0,0,0,Да,Оператор,Нет
5,28,0,0,1,Да,Техник,Нет
29,57,0,0,1,Да,Техник,Нет
3,23,0,1,0,Нет,Техник,Нет
6,34,1,0,1,Да,Не нанят,Нет
9,37,0,0,1,Да,Оператор,Премия
38,63,0,0,1,Да,Техник,Премия
38,66,1,0,1,Да,Не нанят,Нет
11,40,0,0,1,Нет,Техник,Нет
19,40,0,0,0,Да,Техник,Нет
28,55,0,0,1,Да,Оператор,Нет
6,34,0,0,1,Да,Техник,Премия
36,58,1,0,1,Да,Не нанят,Нет
30,56,0,1,0,Да,Мастер,Премия
20,48,0,0,1,Нет,Оператор,Нет
31,54,1,0,1,Да,Не нанят,Нет
28,56,1,0,1,Да,Не нанят,Нет
25,49,0,1,0,Нет,Мастер,Нет
32,56,0,1,0,Да,Начальник производства,Премия
14,36,1,1,0,Да,Не нанят,Нет
4,33,1,0,1,Да,Не нанят,Нет
34,57,0,0,1,Да,Оператор,Премия
19,41,1,0,1,Нет,Не нанят,Нет
35,63,0,0,0,Да,Техник,Нет
39,65,0,0,1,Да,Техник,Премия
13,40,0,0,1,Да,Техник,Премия
13,40,0,1,0,Да,Мастер,Премия
8,36,0,0,1,Нет,Техник,Нет
29,56,0,1,0,Да,Мастер,Премия
13,33,1,1,0,Да,Не нанят,Нет
35,63,1,0,1,Да,Не нанят,Нет
15,38,0,0,1,Да,Оператор,Нет
12,34,1,1,0,Нет,Не нанят,Нет
0,25,0,0,1,Да,Техник,Нет
19,46,0,0,1,Да,Техник,Нет
6,31,0,1,0,Нет,Техник,Нет
13,42,1,0,1,Да,Не нанят,Нет
34,58,1,1,0,Да,Не нанят,Нет
38,61,0,0,1,Да,Техник,Премия
15,35,1,0,1,Нет,Не нанят,Нет
10,38,1,1,0,Нет,Не нанят,Нет
38,64,1,1,0,Да,Не нанят,Нет
35,55,2,0,1,Да,Не нанят,Нет
7,29,0,1,0,Нет,Техник,Нет
10,35,0,0,1,Да,Техник,Премия
27,47,0,1,0,Нет,Мастер,Нет
37,64,1,1,0,Да,Не нанят,Нет
6,27,0,1,0,Нет,Техник,Нет
30,58,0,0,0,Да,Техник,Нет
0,22,0,1,0,Нет,Техник,Нет
5,29,0,0,0,Да,Не нанят,Нет
4,33,0,0,1,Нет,Оператор,Нет
24,46,1,0,1,Нет,Не нанят,Нет
31,53,0,1,0,Да,Начальник производства,Двойная премия
23,51,0,0,1,Да,Оператор,Премия
9,29,0,2,0,Да,Техник,Премия
17,44,1,0,1,Да,Не нанят,Нет
37,57,0,0,1,Да,Оператор,Премия
10,39,0,1,0,Да,Мастер,Двойная премия
0,26,1,1,0,Нет,Не нанят,Нет
7,28,1,1,0,Нет,Не нанят,Нет
9,33,0,0,0,Нет,Оператор,Нет
37,66,1,2,0,Да,Техник,Нет
34,62,1,0,1,Да,Не нанят,Нет
4,28,0,1,0,Да,Техник,Нет
8,31,0,1,0,Да,Мастер,Нет
7,32,0,0,1,Нет,Оператор,Нет
22,49,1,1,0,Нет,Не нанят,Нет
14,36,0,0,1,Да,Техник,Премия
25,46,1,0,1,Да,Не нанят,Нет
4,33,1,0,1,Да,Не нанят,Нет
4,32,0,1,0,Нет,Техник,Нет
27,52,0,0,1,Да,Техник,Премия
26,48,0,0,1,Нет,Оператор,Нет
23,50,0,0,1,Да,Оператор,Нет
18,40,0,0,1,Да,Техник,Нет
34,54,0,0,1,Да,Техник,Нет
14,35,0,1,0,Да,Мастер,Нет
3,31,1,1,0,Нет,Не нанят,Нет
34,59,0,0,1,Да,Оператор,Нет
28,52,0,1,0,Да,Начальник производства,Двойная премия
11,34,0,0,1,Нет,Техник,Нет
6,27,0,1,0,Да,Техник,Нет
23,48,1,0,1,Да,Не нанят,Нет
20,41,1,2,0,Нет,Техник,Нет
36,56,0,1,0,Да,Начальник производства,Двойная премия
13,38,0,2,0,Да,Мастер,Нет
9,35,1,0,1,Нет,Не нанят,Нет
1,28,0,1,0,Да,Мастер,Нет
29,54,0,1,0,Да,Мастер,Двойная премия
32,55,1,0,0,Да,Не нанят,Нет
21,50,1,0,1,Да,Не нанят,Нет
12,32,1,0,1,Да,Не нанят,Нет
24,52,1,1,0,Да,Не нанят,Нет
0,24,1,0,1,Нет,Не нанят,Нет
12,35,1,1,0,Нет,Не нанят,Нет
34,58,1,1,0,Да,Не нанят,Нет
31,55,0,0,1,Да,Техник,Премия
8,36,0,0,0,Да,Не нанят,Нет
14,40,1,0,1,Нет,Не нанят,Нет
23,43,1,1,0,Нет,Не нанят,Нет
24,46,0,0,1,Да,Техник,Нет
1,26,0,0,1,Нет,Оператор,Нет
1,24,1,1,0,Да,Не нанят,Нет
20,49,1,1,0,Нет,Не нанят,Нет
32,54,0,0,1,Да,Оператор,Премия
28,56,1,0,0,Да,Не нанят,Нет
26,53,0,0,0,Да,Оператор,Нет
4,33,1,0,1,Да,Не нанят,Нет
34,62,1,1,0,Да,Не нанят,Нет
22,47,0,1,0,Да,Мастер,Нет
33,53,1,0,1,Да,Не нанят,Нет
31,53,0,0,0,Да,Техник,Нет
29,57,0,0,1,Да,Техник,Премия
19,47,0,0,0,Нет,Техник,Нет
39,66,1,0,0,Да,Не нанят,Нет
28,53,0,0,1,Да,Техник,Премия
24,45,0,0,0,Нет,Оператор,Нет
16,45,1,1,0,Нет,Не нанят,Нет
32,58,0,0,1,Да,Оператор,Нет
3,29,0,0,1,Да,Техник,Нет
25,45,0,0,1,Да,Техник,Нет
30,54,0,0,1,Да,Техник,Нет
38,64,0,1,0,Да,Мастер,Двойная премия
17,38,0,0,1,Нет,Техник,Нет
15,41,0,0,1,Нет,Техник,Нет
27,56,1,0,1,Да,Не нанят,Нет
38,60,0,0,1,Да,Техник,Премия
36,56,0,1,0,Да,Мастер,Премия
14,38,0,1,0,Нет,Мастер,Нет
15,41,1,0,1,Нет,Не нанят,Нет
10,33,0,1,0,Да,Мастер,Двойная премия
9,34,1,1,0,Нет,Не нанят,Нет
4,30,1,0,1,Да,Не нанят,Нет
28,48,0,1,0,Нет,Мастер,Нет
27,49,0,0,1,Нет,Техник,Нет
28,57,0,0,1,Да,Техник,Премия
12,35,0,1,0,Да,Технолог,Премия
3,23,1,1,0,Нет,Не нанят,Нет
30,53,1,1,0,Да,Не нанят,Нет
34,57,0,2,0,Да,Начальник производства,Премия
17,39,0,0,0,Нет,Не нанят,Нет
10,34,0,1,0,Нет,Мастер,Нет
25,52,0,0,1,Да,Техник,Нет
9,29,0,1,0,Нет,Техник,Нет
25,45,0,1,0,Нет,Мастер,Нет
37,65,1,0,0,Да,Не нанят,Нет
30,55,0,0,1,Да,Оператор,Премия
23,52,1,0,1,Да,Не нанят,Нет
31,51,0,1,0,Да,Мастер,Премия
16,42,1,0,1,Да,Не нанят,Нет
1,23,0,1,0,Да,Техник,Нет
21,49,0,0,1,Нет,Оператор,Нет
31,53,0,1,0,Да,Начальник производства,Премия
18,42,0,1,0,Нет,Мастер,Нет
5,26,0,0,1,Да,Техник,Премия
13,41,0,1,0,Да,Мастер,Нет
25,47,0,0,1,Да,Оператор,Нет
28,51,1,0,1,Да,Не нанят,Нет
6,27,0,1,0,Нет,Техник,Нет
6,27,2,0,1,Нет,Не нанят,Нет
13,39,1,0,1,Да,Не нанят,Нет
35,64,0,1,0,Да,Начальник производства,Премия
18,43,1,0,1,Да,Не нанят,Нет
38,60,0,1,0,Да,Мастер,Двойная премия
6,32,0,0,1,Нет,Оператор,Нет
33,54,0,0,0,Да,Оператор,Нет
21,44,0,0,1,Нет,Техник,Нет
2,22,0,0,1,Нет,Техник,Нет
18,45,1,0,0,Нет,Не нанят,Нет
10,31,0,0,1,Да,Техник,Нет
1,28,1,1,0,Нет,Не нанят,Нет
11,33,0,1,0,Нет,Мастер,Нет
16,38,1,0,1,Нет,Не нанят,Нет
6,34,0,0,1,Нет,Техник,Нет
34,63,0,0,1,Да,Техник,Премия
19,48,0,1,0,Нет,Мастер,Нет
30,59,0,1,0,Да,Начальник производства,Двойная премия
26,47,0,0,1,Нет,Техник,Нет
8,28,0,0,1,Да,Техник,Премия
26,47,1,0,1,Нет,Не нанят,Нет
9,34,1,1,0,Нет,Не нанят,Нет
30,55,1,0,1,Да,Не нанят,Нет
29,53,0,0,1,Да,Техник,Премия
10,34,0,0,0,Да,Техник,Нет
18,45,0,0,1,Нет,Оператор,Нет
31,58,1,0,1,Да,Не нанят,Нет
23,45,0,0,1,Да,Техник,Премия
0,20,0,1,0,Нет,Техник,Нет
26,55,0,0,1,Да,Техник,Нет
27,49,0,1,0,Нет,Мастер,Нет
34,57,0,0,0,Да,Не нанят,Нет
12,35,0,0,1,Нет,Техник,Нет
30,59,0,0,0,Да,Техник,Нет
3,28,1,0,0,Да,Не нанят,Нет
18,45,1,0,0,Да,Не нанят,Нет
6,28,0,1,0,Нет,Техник,Нет
5,27,1,0,1,Нет,Не нанят,Нет
16,41,0,0,1,Да,Техник,Премия
18,43,1,0,0,Нет,Не нанят,Нет
2,23,0,1,0,Да,Мастер,Нет
32,59,1,0,1,Да,Не нанят,Нет
17,41,0,1,0,Нет,Мастер,Нет
38,62,0,1,0,Да,Мастер,Премия
27,52,0,0,1,Да,Техник,Нет
36,58,0,1,0,Да,Мастер,Премия
0,27,0,1,0,Да,Мастер,Нет
4,25,1,1,0,Нет,Не нанят,Нет
3,30,2,0,1,Нет,Не нанят,Нет
15,39,0,0,1,Нет,Оператор,Нет
2,31,1,1,0,Нет,Не нанят,Нет
2,29,1,0,1,Нет,Не нанят,Нет
31,53,0,0,1,Да,Техник,Нет
34,63,1,1,0,Да,Не нанят,Нет
14,34,0,1,0,Нет,Мастер,Нет
15,35,0,0,1,Нет,Техник,Нет
32,55,0,1,0,Да,Мастер,Премия
18,38,0,0,1,Нет,Техник,Нет
30,58,0,0,0,Да,Техник,Нет
15,42,0,0,1,Нет,Техник,Нет
39,67,0,0,1,Да,Техник,Нет
20,49,0,0,0,Нет,Техник,Нет
11,33,0,0,0,Да,Не нанят,Нет
21,42,0,1,0,Да,Начальник производства,Нет
17,45,0,0,1,Нет,Оператор,Нет
2,29,0,0,1,Да,Техник,Нет
0,21,1,1,0,Нет,Не нанят,Нет
39,66,0,1,0,Да,Начальник производства,Нет
21,44,0,0,1,Да,Оператор,Премия
19,42,0,0,0,Нет,Техник,Нет
6,35,1,1,0,Да,Не нанят,Нет
35,58,0,0,1,Да,Техник,Нет
37,60,0,0,1,Да,Техник,Нет
21,43,0,1,0,Да,Начальник производства,Нет
38,61,0,0,1,Да,Техник,Премия
4,29,0,0,1,Нет,Оператор,Нет
37,63,0,0,1,Да,Техник,Премия
19,39,1,0,1,Да,Не нанят,Нет
18,47,0,0,1,Нет,Оператор,Нет
4,26,0,0,1,Нет,Оператор,Нет
24,47,1,1,0,Нет,Не нанят,Нет
0,27,0,0,0,Нет,Не нанят,Нет
33,59,0,0,1,Да,Техник,Нет
27,48,0,1,0,Да,Начальник производства,Двойная премия
1,22,1,1,0,Да,Не нанят,Нет
23,49,1,0,1,Нет,Не нанят,Нет
15,42,1,0,1,Нет,Не нанят,Нет
15,36,0,0,1,Да,Оператор,Премия
33,54,1,0,0,Да,Не нанят,Нет
18,40,0,0,1,Нет,Оператор,Нет
25,50,0,0,1,Нет,Оператор,Нет
35,59,0,1,0,Да,Мастер,Двойная премия
24,49,0,0,0,Нет,Не нанят,Нет
29,49,0,0,1,Нет,Техник,Нет
31,56,1,0,1,Да,Не нанят,Нет
16,37,0,1,0,Да,Мастер,Двойная премия
8,30,1,1,0,Да,Не нанят,Нет
26,52,0,1,0,Да,Мастер,Премия
38,64,0,1,0,Да,Начальник производства,Премия
8,31,0,0,0,Да,Оператор,Нет
25,47,0,0,0,Да,Оператор,Нет
24,44,1,0,0,Да,Не нанят,Нет
24,51,0,0,0,Да,Техник,Нет
19,48,1,0,1,Нет,Не нанят,Нет
30,59,0,1,0,Да,Мастер,Двойная премия
9,38,0,0,1,Да,Техник,Нет
9,37,0,0,1,Да,Техник,Нет
39,62,0,0,0,Да,Техник,Нет
39,68,1,0,1,Да,Не нанят,Нет
24,48,0,0,1,Да,Оператор,Нет
30,52,2,0,1,Да,Не нанят,Нет
39,64,1,1,0,Да,Не нанят,Нет
32,58,1,1,0,Да,Не нанят,Нет
39,64,1,0,1,Да,Не нанят,Нет
35,56,0,0,0,Да,Не нанят,Нет
8,28,0,1,0,Нет,Техник,Нет
22,47,0,0,1,Да,Техник,Нет
17,43,0,0,1,Нет,Техник,Нет
8,30,0,1,0,Да,Мастер,Премия
9,37,0,1,0,Да,Техник,Премия
10,32,0,0,1,Нет,Техник,Нет
3,26,0,0,1,Да,Техник,Нет
12,40,0,1,0,Нет,Мастер,Нет
23,50,1,0,0,Да,Не нанят,Нет
35,63,0,0,1,Да,Техник,Премия
34,56,1,0,1,Да,Не нанят,Нет
7,33,0,0,0,Нет,Оператор,Нет
18,43,0,1,0,Нет,Мастер,Нет
33,55,0,1,0,Да,Начальник производства,Премия
9,37,0,0,1,Да,Оператор,Премия
32,57,1,0,0,Да,Не нанят,Нет
24,51,1,0,1,Да,Не нанят,Нет
28,50,0,0,1,Да,Техник,Нет
9,32,0,0,1,Нет,Оператор,Нет
0,23,1,0,1,Нет,Не нанят,Нет
33,53,0,0,1,Да,Техник,Премия
7,31,0,1,0,Нет,Техник,Нет
22,46,0,0,0,Да,Техник,Нет
17,43,1,0,1,Да,Не нанят,Нет
31,60,1,0,1,Да,Не нанят,Нет
16,43,1,0,1,Нет,Не нанят,Нет
30,57,1,0,0,Да,Не нанят,Нет
7,32,0,0,1,Нет,Техник,Нет
19,40,0,1,0,Нет,Мастер,Нет
36,60,0,0,1,Да,Техник,Премия
21,47,0,0,0,Нет,Не нанят,Нет
0,20,0,0,1,Да,Техник,Нет
22,43,2,0,1,Нет,Не нанят,Нет
31,58,0,1,0,Да,Мастер,Премия
1,23,0,0,1,Нет,Техник,Нет
24,45,0,0,1,Нет,Оператор,Нет
28,52,0,0,1,Да,Техник,Премия
16,37,0,1,0,Да,Мастер,Двойная премия
